Histone variant,NCBI gene ID,Ensembl gene ID,Expr. timing,Expr. pattern,Biotype,Bona fide canonical,PMIDs,Previous HGNC Symbol,HGNC Symbol
H1.0,3005,ENSG00000189060,RI,,COD,,26689747,H1F0,H1-0
H1.1,3024,ENSG00000124610,RD,,COD,,26689747,HIST1H1A,H1-1
H1.2,3006,ENSG00000187837,Mixed,,COD,,26689747,HIST1H1C,H1-2
H1.3,3007,ENSG00000124575,RD,,COD,,26689747,HIST1H1D,H1-3
H1.4,3008,ENSG00000168298,RD,,COD,,26689747,HIST1H1E,H1-4
H1.5,3009,ENSG00000184357,RD,,COD,,26689747,HIST1H1B,H1-5
TS H1.6,3010,ENSG00000187475,RD,TS,COD,,26689747,HIST1H1T,H1-6
TS H1.7,341567,ENSG00000187166,RI,TS,COD,,26689747,H1FNT,H1-7
OO H1.8,132243,ENSG00000178804,RI,OO,COD,,26689747,H1FOO,H1-8
TS H1.9(?),373861,ENSG00000188662,RI,TS,COD,,12920187 26689747 17852044,,
H1.10,8971,ENSG00000184897,RI,,COD,,26689747,H1FX,H1-10
,387325,ENSG00000216331,,,PS,,,HIST1H1PS1,H1-12P
TS H2A.1,221613,ENSG00000164508,Mixed,TS,COD,,2011515 7068607 24506885,HIST1H2AA,H2AC1
,387319,ENSG00000216436,,,PS,canonical,12408966 25731851,HIST1H2APS1,H2AC2P
,85303,ENSG00000242387,,,PS,,,HIST1H2APS2,H2AC3P
canonical_H2A,8335,ENSG00000278463,RD,,COD,canonical,12408966 25731851,HIST1H2AB,H2AC4
,10341,ENSG00000234816,,,PS,,,HIST1H2APS5,H2AC5P
canonical_H2A,8334,ENSG00000180573,RD,,COD,canonical,12408966 25731851,HIST1H2AC,H2AC6
canonical_H2A,3013,ENSG00000196866,RD,,COD,canonical,12408966 25731851,HIST1H2AD,H2AC7
canonical_H2A,3012,ENSG00000277075,RD,,COD,canonical,12408966 25731851,HIST1H2AE,H2AC8
,387323,ENSG00000218281,,,PS,,,HIST1H2APS3,H2AC9P
,8333,ENSG00000218690,,,PS,,,HIST1H2APS4,H2AC10P
canonical_H2A,8969,ENSG00000196787,RD,,COD,canonical,12408966 25731851,HIST1H2AG,H2AC11
canonical_H2A,85235,ENSG00000274997,RD,,COD,canonical,12408966 25731851,HIST1H2AH,H2AC12
canonical_H2A,8329,ENSG00000196747,RD,,COD,canonical,12408966 25731851,HIST1H2AI,H2AC13
canonical_H2A,8331,ENSG00000276368,RD,,COD,canonical,12408966 25731851,HIST1H2AJ,H2AC14
canonical_H2A,8330,ENSG00000275221,RD,,COD,canonical,12408966 25731851,HIST1H2AK,H2AC15
canonical_H2A,8332,ENSG00000276903,RD,,COD,canonical,12408966 25731851,HIST1H2AL,H2AC16
canonical_H2A,8336,ENSG00000278677,RD,,COD,canonical,12408966 25731851,HIST1H2AM,H2AC17
canonical_H2A,8337,ENSG00000203812,RD,,COD,canonical,12408966 25731851,HIST2H2AA3,H2AC18
canonical_H2A,723790,ENSG00000272196,RD,,COD,canonical,12408966 25731851,HIST2H2AA4,H2AC19
canonical_H2A,8338,ENSG00000184260,RD,,COD,canonical,12408966 25731851,HIST2H2AC,H2AC20
canonical_H2A,317772,ENSG00000184270,RD,,COD,canonical,12408966 25731851,HIST2H2AB,H2AC21
H2A.J(?),55766,ENSG00000246705,RI,,COD,,25731851,H2AFJ,H2AJ
canonical_H2A,92815,ENSG00000181218,?,,COD,?,?,,
H2A.X,3014,ENSG00000188486,Mixed,,COD,,12408966 25731851,H2AFX,H2AX
H2A.Z.1,3015,ENSG00000164032,RI,,COD,,25731851,H2AFZ,H2AZ1
H2A.Z.2,94239,ENSG00000105968,RI,,COD,,25731851,H2AFV,H2AZ2
macroH2A.1,9555,ENSG00000113648,RI,,COD,,25731851,H2AFY,MACROH2A1
macroH2A.2,55506,ENSG00000099284,RI,,COD,,25731851,H2AFY2,MACROH2A2
H2A.B.1,474382,ENSG00000274183,RI,,COD,,29549088,H2AFB1,H2AB1
H2A.B.2,474381,ENSG00000277858,RI,,COD,,29549088,H2AFB2,H2AB2
H2A.B.2,83740,ENSG00000277745,RI,,COD,,29549088,H2AFB3,H2AB3
H2A.P,25763,ENSG00000187516,RI,,COD,,29549088,HYPM,H2AP
,54049,ENSG00000213440,,,PS,,,H2AFZP1,H2AZP1
,346990,ENSG00000253173,,,PS,,,H2AFZP2,H2AZP2
,728023,ENSG00000218502,,,PS,,,H2AFZP3,H2AZP3
,100462795,ENSG00000255329,,,PS,,,H2AFZP4,H2AZP4
,100288330,ENSG00000234612,,,PS,,,H2AFZP5,H2AZP5
,100462800,ENSG00000233733,,,PS,,,H2AFZP6,H2AZP6
,654500,ENSG00000258741,,,PS,,,H2AFVP1,H2AZP7
,100509927,ENSG00000223383,,,PS,,,HIST1H2APS6,H2ACP1
,115482714,ENSG00000249467,,,PS,,,,
,115482686,ENSG00000229674,,,PS,,,,
,115482687,ENSG00000285944,,,PS,,,,
,115482715,ENSG00000285989,,,PS,,,,
TS H2B.1,255626,ENSG00000146047,Mixed,TS,COD,,12213818 23884607 17261847,HIST1H2BA,H2BC1
,100288742,ENSG00000178762,,,PS,,,HIST1H2BPS1,H2BC2P
canonical_H2B,3018,ENSG00000276410,RD,,COD,canonical,12408966 25731851,HIST1H2BB,H2BC3
canonical_H2B,8347,ENSG00000180596,RD,,COD,canonical,12408966 25731851,HIST1H2BC,H2BC4
canonical_H2B,3017,ENSG00000158373,RD,,COD,canonical,12408966 25731851,HIST1H2BD,H2BC5
canonical_H2B,8344,ENSG00000274290,RD,,COD,canonical,12408966 25731851,HIST1H2BE,H2BC6
canonical_H2B,8343,ENSG00000277224,RD,,COD,canonical,12408966 25731851,HIST1H2BF,H2BC7
canonical_H2B,8339,ENSG00000278588,RD,,COD,canonical,12408966 25731851,HIST1H2BG,H2BC8
canonical_H2B,8345,ENSG00000275713,RD,,COD,canonical,12408966 25731851,HIST1H2BH,H2BC9
canonical_H2B,8346,ENSG00000273802,RD,,COD,canonical,12408966 25731851,HIST1H2BI,H2BC10
canonical_H2B,8970,ENSG00000124635,RD,,COD,canonical,12408966 25731851,HIST1H2BJ,H2BC11
canonical_H2B,85236,ENSG00000197903,RD,,COD,canonical,12408966 25731851,HIST1H2BK,H2BC12
canonical_H2B,8340,ENSG00000185130,RD,,COD,canonical,12408966 25731851,HIST1H2BL,H2BC13
canonical_H2B,8342,ENSG00000273703,RD,,COD,canonical,12408966 25731851,HIST1H2BM,H2BC14
canonical_H2B,8341,ENSG00000233822,RD,,COD,canonical,12408966 25731851,HIST1H2BN,H2BC15
,10340,ENSG00000217646,,,PS,,,HIST1H2BPS2,H2BC16P
canonical_H2B,8348,ENSG00000274641,RD,,COD,canonical,12408966 25731851,HIST1H2BO,H2BC17
canonical_H2B,440689,ENSG00000203814,RD,,COD,canonical,12408966 25731851,HIST2H2BF,H2BC18
,337874,ENSG00000220323,,,PS,,,HIST2H2BD,H2BC19P
,337873,ENSG00000261716,,,PS,,,HIST2H2BC,H2BC20P
canonical_H2B(?),8349,ENSG00000184678,RD,,COD,?,23240083 12408966 25731851,HIST2H2BE,H2BC21
H2B.S(?),54145,ENSG00000234289,RI,,COD,,?,,
canonical_H2B,128312,ENSG00000196890,?,,COD,canonical,12408966,,
,337872,ENSG00000181201,,,PS,,,,
H2B.W,158983,ENSG00000123569,RI,TS,COD,,15475252 16449661 25731851,,
?,286436,ENSG00000101812,RI,,COD,,,,
,100101478,ENSG00000235946,,,PS,,,,
,767811,,,,PS,,,,
,100820735,ENSG00000226908,,,PS,,,,
,337875,ENSG00000223345,,,PS,,,HIST2H2BA,H2BP1
,338391,ENSG00000240929,,,PS,,,HIST2H2BA,H2BP1
